Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",158.575000,-106.525000,45.000000,top
"C2","0.1uF","C_0402_1005Metric",155.175000,-117.230000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",147.925000,-112.830000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",148.525000,-108.000000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",157.075000,-106.750000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",154.425000,-103.550000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",155.385000,-102.810000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",158.405000,-108.175000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",159.395000,-112.580000,0.000000,top
"C10","1uF","C_0402_1005Metric",156.215000,-117.240000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",156.100000,-106.420000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",153.400000,-103.545000,90.000000,top
"C13","10uF","C_0603_1608Metric",149.965000,-90.780000,180.000000,top
"C14","10uF","C_0603_1608Metric",150.975000,-96.550000,180.000000,top
"C15","33pF","C_0402_1005Metric",149.875000,-119.400000,-90.000000,top
"C16","33pF","C_0402_1005Metric",155.300000,-119.100000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",151.025000,-101.950000,180.000000,top
"C18","33pF","C_0402_1005Metric",128.020000,-104.800000,0.000000,top
"C19","33pF","C_0402_1005Metric",126.500000,-110.980000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",129.980000,-121.000000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",129.980000,-120.000000,180.000000,top
"C22","0.1uF","C_0402_1005Metric",136.000000,-117.520000,-90.000000,top
"C23","1uF","C_0402_1005Metric",135.000000,-117.520000,-90.000000,top
"C24","1uF","C_0402_1005Metric",128.020000,-120.000000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",128.020000,-119.000000,180.000000,top
"C26","0.1uF","C_0402_1005Metric",128.020000,-118.000000,180.000000,top
"C27","0.1uF","C_0402_1005Metric",128.020000,-117.000000,180.000000,top
"C28","0.1uF","C_0402_1005Metric",128.020000,-116.000000,180.000000,top
"C29","0.1uF","C_0402_1005Metric",128.020000,-114.650000,180.000000,top
"C30","0.1uF","C_0402_1005Metric",129.980000,-116.000000,0.000000,top
"C31","0.1uF","C_0402_1005Metric",129.980000,-117.000000,0.000000,top
"C32","0.1uF","C_0402_1005Metric",129.980000,-118.000000,0.000000,top
"C33","0.1uF","C_0402_1005Metric",130.020000,-119.000000,0.000000,top
"C34","0.1uF","C_0402_1005Metric",130.020000,-110.500000,180.000000,top
"C35","0.1uF","C_0402_1005Metric",132.000000,-105.520000,90.000000,top
"C36","0.1uF","C_0402_1005Metric",133.500000,-105.480000,90.000000,top
"C37","470pF","C_0805_2012Metric",144.750000,-113.400000,0.000000,top
"C38","0.1uF","C_0402_1005Metric",137.900000,-122.280000,-90.000000,top
"C39","0.1uF","C_0402_1005Metric",130.000000,-105.520000,90.000000,top
"C40","0.1uF","C_0402_1005Metric",131.000000,-105.520000,90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",138.787500,-118.900000,180.000000,top
"FB2","FerriteBead","L_0603_1608Metric",138.812500,-117.400000,180.000000,top
"FB3","FerriteBead","L_0603_1608Metric",138.712500,-120.500000,180.000000,top
"FB4","FerriteBead","L_0603_1608Metric",133.800000,-118.787500,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",153.375000,-84.600000,180.000000,top
"J2","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",144.500000,-116.380000,0.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",148.190000,-131.250000,90.000000,top
"J6","RJ45_Hanrun_HR911105A_Horizontal","RJ45_Hanrun_HR911105A_Horizontal",139.080000,-99.760000,180.000000,top
"R1","5.1K","R_0402_1005Metric",152.025000,-90.990000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",154.765000,-90.920000,-90.000000,top
"R3","27","R_0402_1005Metric",154.050000,-106.090000,-90.000000,top
"R4","27","R_0402_1005Metric",155.100000,-106.090000,-90.000000,top
"R5","1K","R_0402_1005Metric",153.315000,-116.910000,180.000000,top
"R6","1K","R_0402_1005Metric",156.900000,-99.250000,0.000000,top
"R7","10K","R_0402_1005Metric",149.095000,-101.970000,0.000000,top
"R8","1K","R_0402_1005Metric",127.000000,-109.500000,0.000000,top
"R9","10K","R_0402_1005Metric",140.500000,-105.500000,0.000000,top
"R10","10K","R_0402_1005Metric",142.010000,-107.500000,180.000000,top
"R11","10K","R_0402_1005Metric",130.010000,-122.000000,180.000000,top
"R12","10K","R_0402_1005Metric",142.000000,-115.510000,90.000000,top
"R13","10K","R_0402_1005Metric",128.740000,-112.750000,180.000000,top
"R15","12.1K","R_0402_1005Metric",135.500000,-105.510000,-90.000000,top
"R16","10K","R_0402_1005Metric",130.000000,-109.500000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",156.425000,-95.850000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",153.375000,-111.600000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",150.925000,-93.650000,90.000000,top
"U3","LAN9250/ML","QFN64_ML_MCH",136.000000,-111.500000,0.000000,top
"U4","W25Q16JVUXIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",150.175000,-103.925000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",152.525000,-119.230000,180.000000,top
"Y2","25 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",124.900000,-107.250000,0.000000,top
